LLAVEHOG,ORDEN,DIRECTORIO,NoHijos,NvEducacion,TipoContrato,Salud,Agua_Potable,Estrato,Satisfaccion
60000001,1,6000000,3,4,0,1,2,1,10
60000001,2,6000000,2,3,2,1,2,1,10
60000001,3,6000000,1,5,0,1,2,1,0
60000001,4,6000000,1,0,0,1,2,1,10
60000001,5,6000000,1,0,0,1,2,1,8
60000001,6,6000000,1,0,0,1,2,1,0
60000011,1,6000001,2,7,2,1,1,1,8
60000011,2,6000001,2,5,0,1,1,1,9
60000011,3,6000001,1,0,0,1,1,1,0
60000021,1,6000002,2,3,2,1,1,1,1
60000021,2,6000002,1,5,0,1,1,1,5
60000021,3,6000002,1,0,0,1,1,1,8
60000021,4,6000002,1,0,0,1,1,1,0
60000031,1,6000003,2,4,2,1,1,1,7
60000031,2,6000003,2,4,0,1,1,1,8
60000031,3,6000003,2,5,0,1,1,1,9
60000031,4,6000003,1,0,0,1,1,1,0
60000031,5,6000003,1,0,0,1,1,1,0
60000031,6,6000003,1,0,0,1,1,1,0
60000031,7,6000003,1,0,0,1,1,1,0
60000051,1,6000005,3,3,0,1,1,1,10
60000051,2,6000005,1,3,0,1,1,1,6
60000051,3,6000005,1,0,0,1,1,1,8
60000051,4,6000005,1,0,0,1,1,1,0
60000061,1,6000006,2,1,2,1,1,1,8
60000061,2,6000006,3,4,0,1,1,1,9
60000081,1,6000008,2,5,2,1,2,1,5
60000081,2,6000008,3,5,2,1,2,1,10
60000081,3,6000008,1,0,0,1,2,1,0
60000081,4,6000008,1,0,0,1,2,1,0
60000081,5,6000008,1,0,0,1,2,1,0
60000081,6,6000008,2,0,0,1,2,1,0
60000091,1,6000009,3,4,2,1,6,1,10
60000091,2,6000009,2,5,0,1,6,1,10
60000091,3,6000009,1,0,0,1,6,1,0
60000101,1,6000010,2,5,0,1,1,1,10
60000101,2,6000010,2,3,2,1,1,1,10
60000101,3,6000010,1,0,0,1,1,1,10
60000101,4,6000010,1,0,0,1,1,1,0
60000111,1,6000011,2,5,2,1,6,3,7
60000111,2,6000011,2,5,0,1,6,3,8
60000111,3,6000011,1,0,0,1,6,3,8
60000111,4,6000011,1,0,0,1,6,3,0
60000111,5,6000011,1,0,0,1,6,3,0
60000121,1,6000012,3,3,0,1,6,3,9
60000131,1,6000013,3,3,0,1,6,2,8
60000131,2,6000013,1,11,2,1,6,2,8
60000131,3,6000013,1,0,0,1,6,2,0
60000151,1,6000015,2,9,0,1,6,3,10
60000151,2,6000015,2,5,2,1,6,3,7
60000151,3,6000015,1,0,0,1,6,3,0
60000151,4,6000015,2,0,0,1,6,3,10
60000151,5,6000015,2,0,0,1,6,3,10
60000151,6,6000015,2,11,0,1,6,3,7
