ORDEN,sexo,parentesco,conyugue,conyugueNo,padre,padreNo,madre,madreNo,LLAVEHOG,MadreSoltera
1,1,1,1,2,3,0,3,0,60000001,0
2,2,2,1,1,3,0,2,0,60000001,0
3,2,3,0,0,1,1,1,2,60000001,1
4,2,4,0,0,2,0,1,3,60000001,0
5,1,4,0,0,2,0,1,3,60000001,0
6,1,4,0,0,2,0,1,3,60000001,0
1,2,1,0,0,2,0,2,0,60000021,1
2,1,3,0,0,2,0,1,1,60000021,0
3,1,3,0,0,2,0,1,1,60000021,0
4,2,3,0,0,2,0,1,1,60000021,0
1,2,1,0,0,3,0,3,0,60000051,0
2,1,3,0,0,2,0,1,1,60000051,0
3,2,3,0,0,2,0,1,1,60000051,1
4,2,4,0,0,2,0,1,3,60000051,0
1,2,1,0,0,3,0,3,0,60000131,0
2,2,3,0,0,3,0,1,1,60000131,1
3,2,4,0,0,2,0,1,2,60000131,0
1,1,1,1,2,2,0,2,0,60000191,0
2,2,2,1,1,2,0,1,5,60000191,0
3,2,3,0,0,1,1,1,2,60000191,0
4,1,3,0,0,1,1,1,2,60000191,0
5,2,6,0,0,2,0,2,0,60000191,1
6,2,14,0,0,2,0,1,5,60000191,0
1,2,1,1,2,3,0,2,0,60000301,0
2,1,2,1,1,2,0,2,0,60000301,0
3,1,3,0,0,1,2,1,1,60000301,0
4,1,3,0,0,1,2,1,1,60000301,0
5,2,3,0,0,1,2,1,1,60000301,1
6,1,4,0,0,2,0,1,5,60000301,0
7,1,14,0,0,3,0,2,0,60000301,0
8,2,14,0,0,3,0,2,0,60000301,0
1,1,1,1,2,2,0,2,0,60000311,0
2,2,2,1,1,3,0,2,0,60000311,0
3,2,7,0,0,3,0,2,0,60000311,1
4,2,9,0,0,2,0,1,3,60000311,0
1,2,1,0,0,3,0,1,3,60000341,1
2,1,3,0,0,2,0,1,1,60000341,0
3,2,5,0,0,3,0,3,0,60000341,0
1,2,1,0,0,2,0,2,0,60000361,1
2,2,3,0,0,2,0,1,1,60000361,0
3,1,3,1,4,3,0,1,1,60000361,0
4,2,8,1,3,2,0,2,0,60000361,0
5,2,3,0,0,2,0,1,1,60000361,1
6,2,4,0,0,2,0,1,5,60000361,0
7,2,4,0,0,2,0,1,5,60000361,0
1,2,1,0,0,3,0,3,0,60000521,0
2,2,3,0,0,3,0,1,1,60000521,1
3,2,4,0,0,2,0,1,2,60000521,0
1,2,1,0,0,2,0,2,0,60000531,1
2,2,3,0,0,2,0,1,1,60000531,0
1,2,1,0,0,3,0,3,0,60000561,1
2,1,3,0,0,2,0,1,1,60000561,0
3,2,7,0,0,3,0,3,0,60000561,1
4,2,7,0,0,3,0,3,0,60000561,0
5,1,9,0,0,2,0,1,3,60000561,0
6,2,9,0,0,2,0,1,3,60000561,0
1,2,1,0,0,3,0,3,0,60000711,1
2,1,3,0,0,2,0,1,1,60000711,0
3,2,3,0,0,2,0,1,1,60000711,1
4,2,4,0,0,2,0,1,3,60000711,0
5,1,4,0,0,2,0,1,3,60000711,0
6,1,4,0,0,2,0,1,3,60000711,0
7,2,3,2,0,2,0,1,1,60000711,0
8,2,4,0,0,2,0,1,7,60000711,0
1,2,1,0,0,2,0,2,0,60000741,1
2,2,3,0,0,2,0,1,1,60000741,0
3,2,3,0,0,2,0,1,1,60000741,0
1,2,1,0,0,3,0,3,0,60000881,1
2,2,3,0,0,3,0,1,1,60000881,0
3,1,3,0,0,3,0,1,1,60000881,0
1,2,1,0,0,3,0,2,0,60000901,1
2,2,3,0,0,2,0,1,1,60000901,1
3,1,4,0,0,2,0,1,2,60000901,0
1,1,1,0,0,2,0,1,2,60000911,0
2,2,5,0,0,2,0,2,0,60000911,1
3,1,7,0,0,2,0,1,2,60000911,0
4,1,7,0,0,2,0,1,2,60000911,0
5,1,7,0,0,2,0,1,2,60000911,0
6,1,7,0,0,2,0,1,2,60000911,0
1,1,1,1,2,2,0,3,0,60000991,0
2,2,2,1,1,3,0,3,0,60000991,0
3,2,3,0,0,1,1,1,2,60000991,0
4,2,7,0,0,2,0,3,0,60000991,0
5,2,9,0,0,3,0,1,4,60000991,1
6,2,9,0,0,2,0,1,5,60000991,0
1,1,1,1,2,3,0,3,0,60001061,0
2,2,2,1,1,3,0,2,0,60001061,0
3,1,3,0,0,1,1,1,2,60001061,0
4,1,3,0,0,1,1,1,2,60001061,0
5,1,3,0,0,1,1,1,2,60001061,0
6,2,3,0,0,1,1,1,2,60001061,1
7,1,4,0,0,2,0,1,6,60001061,0
1,2,1,0,0,2,0,2,0,60001101,1
2,2,3,0,0,2,0,1,1,60001101,0
3,2,3,0,0,2,0,1,1,60001101,0
1,2,1,0,0,3,0,2,0,60001121,0
2,2,3,0,0,3,0,1,1,60001121,1
3,1,4,0,0,3,0,1,2,60001121,0
4,1,4,0,0,2,0,1,2,60001121,0
1,2,1,0,0,2,0,2,0,60001181,1
2,2,3,0,0,2,0,1,1,60001181,0
1,2,1,0,0,3,0,2,0,60001281,1
2,1,3,0,0,2,0,1,1,60001281,0
3,1,3,0,0,2,0,1,1,60001281,0
1,2,1,0,0,2,0,1,3,60001291,1
2,1,3,0,0,2,0,1,1,60001291,0
3,2,9,0,0,2,0,2,0,60001291,0
1,2,1,0,0,2,0,2,0,60001301,1
2,1,3,0,0,2,0,1,1,60001301,0
3,2,3,0,0,2,0,1,1,60001301,1
4,2,4,0,0,2,0,1,3,60001301,0
1,2,1,0,0,3,0,3,0,60001321,1
2,1,3,0,0,2,0,1,1,60001321,0
3,2,3,0,0,3,0,1,1,60001321,1
4,1,4,0,0,2,0,1,3,60001321,0
1,1,1,1,2,3,0,3,0,60001341,0
2,2,2,1,1,3,0,2,0,60001341,0
3,2,3,0,0,1,1,1,2,60001341,1
4,2,4,0,0,2,0,1,3,60001341,0
5,1,4,0,0,2,0,1,3,60001341,0
1,2,1,0,0,2,0,2,0,60001381,1
2,1,3,0,0,2,0,1,1,60001381,0
3,1,3,0,0,2,0,1,1,60001381,0
1,1,1,1,2,2,0,2,0,60001411,0
2,2,2,1,1,2,0,2,0,60001411,0
3,2,3,0,0,1,1,1,2,60001411,0
4,1,3,0,0,1,1,1,2,60001411,0
5,2,3,0,0,1,1,1,2,60001411,1
6,1,4,0,0,2,0,1,5,60001411,0
1,2,1,0,0,2,0,2,0,60001531,1
2,2,3,0,0,2,0,1,1,60001531,0
3,2,3,0,0,2,0,1,1,60001531,0
1,2,1,0,0,3,0,2,0,60001541,1
2,2,3,0,0,2,0,2,0,60001541,0
3,1,3,0,0,2,0,1,1,60001541,0
4,1,3,0,0,2,0,1,1,60001541,0
1,2,1,0,0,2,0,2,0,60001591,1
2,1,3,0,0,2,0,1,1,60001591,0
3,2,3,0,0,2,0,1,1,60001591,0
1,2,1,0,0,3,0,3,0,60001791,0
2,2,3,0,0,2,0,1,1,60001791,1
3,2,4,0,0,2,0,1,2,60001791,0
4,1,4,0,0,2,0,1,2,60001791,0
1,2,1,0,0,3,0,2,0,60001851,1
2,1,3,0,0,2,0,1,1,60001851,0
3,1,3,0,0,2,0,1,1,60001851,0
4,1,3,0,0,2,0,1,1,60001851,0
5,1,3,0,0,2,0,1,1,60001851,0
1,2,1,0,0,3,0,2,0,60001871,1
2,1,3,0,0,2,0,1,1,60001871,0
3,1,3,0,0,2,0,1,1,60001871,0
4,2,3,0,0,2,0,1,1,60001871,1
5,1,4,0,0,2,0,1,4,60001871,0
1,1,1,0,0,3,0,3,0,60001911,0
2,2,4,0,0,2,0,2,0,60001911,1
3,2,9,0,0,2,0,1,2,60001911,0
1,2,1,0,0,3,0,3,0,60001921,1
2,1,3,0,0,2,0,1,1,60001921,0
3,2,3,1,4,2,0,1,1,60001921,0
4,1,8,1,3,2,0,2,0,60001921,0
5,2,4,0,0,1,4,1,3,60001921,0
6,1,4,0,0,1,4,1,3,60001921,0
7,1,4,0,0,1,4,1,3,60001921,0
8,2,4,0,0,1,4,1,3,60001921,0
1,2,1,0,0,2,0,2,0,60001971,1
2,1,3,0,0,2,0,1,1,60001971,0
3,1,3,0,0,2,0,1,1,60001971,0
1,2,1,0,0,2,0,2,0,60002041,1
2,2,3,0,0,2,0,1,1,60002041,0
3,2,3,2,0,2,0,1,1,60002041,0
4,1,4,0,0,2,0,1,3,60002041,0
1,2,1,0,0,3,0,3,0,60002081,1
2,2,3,0,0,2,0,1,1,60002081,0
3,1,3,0,0,2,0,1,1,60002081,0
4,2,3,0,0,2,0,1,1,60002081,0
1,1,1,1,2,2,0,2,0,60002131,0
2,2,2,1,1,2,0,2,0,60002131,0
3,1,3,0,0,1,1,1,2,60002131,0
4,2,3,0,0,1,1,1,2,60002131,1
5,2,4,0,0,2,0,1,4,60002131,0
1,2,1,0,0,3,0,3,0,60002161,0
2,2,3,0,0,2,0,1,1,60002161,1
3,1,4,0,0,2,0,1,2,60002161,0
4,2,4,0,0,2,0,1,2,60002161,0
5,1,4,0,0,2,0,1,2,60002161,0
1,2,1,1,2,2,0,2,0,60002201,0
2,1,2,1,1,2,0,2,0,60002201,0
3,2,3,0,0,2,0,1,1,60002201,0
4,1,3,0,0,2,0,1,1,60002201,0
5,2,3,0,0,2,0,1,1,60002201,0
6,2,3,0,0,1,2,1,1,60002201,0
7,2,3,0,0,2,0,1,1,60002201,1
8,2,4,0,0,2,0,1,7,60002201,0
1,2,1,1,2,3,0,2,0,60002451,0
2,1,2,1,1,3,0,3,0,60002451,0
3,2,3,0,0,1,2,1,1,60002451,1
4,2,4,0,0,2,0,1,3,60002451,0
1,2,1,0,0,3,0,1,5,60002461,1
2,1,3,0,0,2,0,1,1,60002461,0
3,1,3,0,0,2,0,1,1,60002461,0
4,2,3,0,0,2,0,1,1,60002461,0
5,2,5,0,0,3,0,3,0,60002461,0
6,1,7,0,0,2,0,1,5,60002461,0
7,1,9,0,0,1,6,2,0,60002461,0
1,2,1,0,0,3,0,3,0,60002631,0
2,1,3,0,0,3,0,1,1,60002631,0
3,1,3,0,0,3,0,1,1,60002631,0
4,2,3,0,0,3,0,1,1,60002631,1
5,1,4,0,0,2,0,1,4,60002631,0
6,2,4,0,0,2,0,1,4,60002631,0
7,1,4,0,0,2,0,1,4,60002631,0
1,2,1,0,0,3,0,2,0,60002721,1
2,1,3,0,0,3,0,1,1,60002721,0
3,1,3,0,0,3,0,1,1,60002721,0
1,2,1,0,0,3,0,3,0,60002741,0
2,2,3,0,0,2,0,1,1,60002741,1
3,2,4,0,0,2,0,1,2,60002741,0
4,2,4,0,0,2,0,1,2,60002741,0
1,2,1,2,0,2,0,2,0,60002771,0
2,2,3,0,0,2,0,1,1,60002771,1
3,2,4,0,0,2,0,1,2,60002771,0
1,2,1,1,2,3,0,2,0,60002801,0
2,1,2,1,1,2,0,2,0,60002801,0
3,1,3,0,0,1,2,1,1,60002801,0
4,2,7,0,0,2,0,2,0,60002801,1
5,2,9,0,0,2,0,1,4,60002801,0
6,2,7,0,0,2,0,2,0,60002801,0
1,2,1,0,0,3,0,3,0,60002831,0
2,1,3,1,3,3,0,1,1,60002831,0
3,2,8,1,2,2,0,2,0,60002831,0
4,2,4,0,0,1,2,1,3,60002831,1
5,1,9,0,0,2,0,1,4,60002831,0
6,1,9,0,0,2,0,1,4,60002831,0
1,2,1,0,0,2,0,2,0,60002911,1
2,2,3,0,0,2,0,1,1,60002911,0
1,2,1,0,0,3,0,2,0,60002931,1
2,1,3,0,0,2,0,1,1,60002931,0
3,1,7,0,0,2,0,2,0,60002931,0
4,1,9,0,0,2,0,2,0,60002931,0
1,2,1,0,0,2,0,2,0,60003041,1
2,2,3,0,0,2,0,1,1,60003041,0
1,2,1,0,0,2,0,2,0,60003091,1
2,1,3,0,0,2,0,1,1,60003091,0
1,2,1,0,0,3,0,3,0,60003112,1
2,1,3,0,0,2,0,1,1,60003112,0
3,1,3,0,0,2,0,1,1,60003112,0
1,2,1,0,0,3,0,3,0,60003131,1
2,1,3,0,0,2,0,1,1,60003131,0
3,1,7,0,0,3,0,3,0,60003131,0
1,2,1,0,0,3,0,3,0,60003151,0
2,2,3,0,0,3,0,1,1,60003151,1
3,1,4,0,0,2,0,1,2,60003151,0
1,2,1,0,0,2,0,2,0,60003201,1
2,2,3,0,0,2,0,1,1,60003201,0
1,2,1,0,0,2,0,2,0,60003301,1
2,1,3,0,0,2,0,1,1,60003301,0
3,1,3,0,0,2,0,1,1,60003301,0
4,1,3,0,0,2,0,1,1,60003301,0
1,2,1,0,0,3,0,3,0,60003321,1
2,2,3,0,0,2,0,1,1,60003321,0
3,1,4,0,0,2,0,2,0,60003321,0
1,1,1,1,2,3,0,2,0,60003431,0
2,2,2,1,1,3,0,2,0,60003431,0
3,1,3,0,0,1,1,1,2,60003431,0
4,1,3,0,0,1,1,1,2,60003431,0
5,2,3,0,0,1,1,1,2,60003431,1
6,1,4,0,0,2,0,1,5,60003431,0
1,2,1,1,2,3,0,3,0,60003471,0
2,1,2,1,1,3,0,3,0,60003471,0
3,1,3,0,0,1,2,1,1,60003471,0
4,2,3,0,0,1,2,1,1,60003471,1
5,1,4,0,0,2,0,1,4,60003471,0
6,2,4,0,0,2,0,2,0,60003471,0
1,2,1,0,0,3,0,2,0,60003511,1
2,2,3,0,0,2,0,1,1,60003511,1
3,2,4,0,0,2,0,1,2,60003511,0
4,2,4,0,0,2,0,1,2,60003511,0
1,2,1,0,0,3,0,3,0,60003551,1
2,1,3,0,0,3,0,1,1,60003551,0
3,2,3,0,0,2,0,1,1,60003551,1
4,2,4,0,0,2,0,1,3,60003551,0
5,2,4,0,0,2,0,1,3,60003551,0
6,1,4,0,0,2,0,1,3,60003551,0
1,2,1,0,0,3,0,3,0,60003611,1
2,1,3,0,0,3,0,1,1,60003611,0
1,2,1,0,0,3,0,3,0,60003681,1
2,2,3,2,0,3,0,1,1,60003681,0
3,2,4,0,0,2,0,1,2,60003681,0
4,2,4,0,0,2,0,1,2,60003681,0
1,1,1,1,2,3,0,3,0,60003691,0
2,2,2,1,1,2,0,2,0,60003691,0
3,1,3,0,0,1,1,1,2,60003691,0
4,2,3,0,0,1,1,1,2,60003691,1
5,2,4,0,0,2,0,1,4,60003691,0
1,2,1,0,0,3,0,2,0,60003741,1
2,1,3,0,0,3,0,1,1,60003741,0
3,1,3,0,0,3,0,1,1,60003741,0
4,2,3,0,0,3,0,1,1,60003741,0
5,2,3,0,0,3,0,1,1,60003741,0
1,2,1,1,2,3,0,3,0,60003871,0
2,1,2,1,1,3,0,3,0,60003871,0
3,2,3,0,0,1,2,1,1,60003871,1
4,2,4,0,0,2,0,1,3,60003871,0
5,2,4,0,0,2,0,1,3,60003871,0
1,2,1,0,0,3,0,3,0,60003961,1
2,1,3,0,0,3,0,1,1,60003961,0
3,2,3,0,0,3,0,1,1,60003961,0
4,1,3,0,0,3,0,1,1,60003961,0
1,2,1,0,0,3,0,2,0,60004012,1
2,2,3,0,0,2,0,1,1,60004012,0
1,2,1,0,0,2,0,2,0,60004111,1
2,1,3,0,0,2,0,1,1,60004111,0
1,2,1,0,0,2,0,2,0,60004121,1
2,2,3,0,0,2,0,1,1,60004121,0
1,2,1,0,0,2,0,2,0,60004163,1
2,2,3,0,0,2,0,1,1,60004163,1
3,1,4,0,0,2,0,1,2,60004163,0
1,2,1,0,0,2,0,2,0,60004241,1
