ORDEN, LLAVEHOG, ESTADOCIVIL
3,60000001,4
1,60000021,4
3,60000051,4
2,60000131,5
5,60000191,4
5,60000301,4
3,60000311,5
1,60000341,4
1,60000361,4
5,60000361,4
2,60000521,5
1,60000531,5
1,60000561,5
3,60000561,5
1,60000711,4
3,60000711,4
1,60000741,5
1,60000881,3
1,60000901,4
2,60000901,4
2,60000911,4
5,60000991,4
6,60001061,4
1,60001101,4
2,60001121,4
1,60001181,4
1,60001281,4
1,60001291,5
1,60001301,4
3,60001301,4
1,60001321,4
3,60001321,4
3,60001341,5
1,60001381,5
5,60001411,5
1,60001531,4
1,60001541,4
1,60001591,4
2,60001791,4
1,60001851,5
1,60001871,4
4,60001871,5
2,60001911,4
1,60001921,5
1,60001971,5
1,60002041,4
1,60002081,4
4,60002131,4
2,60002161,4
7,60002201,4
3,60002451,5
1,60002461,5
4,60002631,4
1,60002721,3
2,60002741,4
2,60002771,4
4,60002801,5
4,60002831,4
1,60002911,4
1,60002931,4
1,60003041,4
1,60003091,4
1,60003112,4
1,60003131,5
2,60003151,5
1,60003201,5
1,60003301,4
1,60003321,4
5,60003431,4
4,60003471,4
1,60003511,4
2,60003511,5
1,60003551,4
3,60003551,5
1,60003611,3
1,60003681,5
4,60003691,5
1,60003741,4
3,60003871,4
1,60003961,3
1,60004012,4
1,60004111,4
1,60004121,5
1,60004163,4
2,60004163,4
1,60004241,5
1,60004331,3
4,60004331,5
1,60004551,4
1,60004601,5
1,60004611,4
1,60004631,5
5,60004641,5
1,60004721,4
1,60004731,4
3,60004771,5
3,60004841,5
1,60004861,4
3,60004881,5
4,60004981,5
1,60005031,5
2,60005071,4
1,60005132,4
1,60005181,4
1,60005251,4
3,60005251,5
3,60005261,5
2,60005291,4
1,60005341,4
1,60005521,4
1,60005581,4
1,60005691,3
1,60005711,5
1,60005721,4
1,60005851,4
1,60006031,4
2,60006061,5
1,60006091,4
3,60006131,4
1,60006151,4
1,60006201,4
1,60006321,4
1,60006401,5
2,60006611,3
5,60006621,5
5,60006661,4
7,60006661,5
1,60006731,4
2,60006841,5
1,60006921,5
1,60006961,5
1,60007051,5
1,60007171,3
1,60007201,5
1,60007281,5
4,60007301,4
1,60007311,4
3,60007351,5
1,60007431,4
1,60007481,3
4,60007481,4
1,60007571,4
1,60007581,4
7,60007631,4
3,60007701,4
2,60007751,4
1,60007841,4
4,60007841,5
1,60007921,4
4,60007941,4
4,60008231,4
5,60008231,5
1,60008232,4
1,60008233,4
1,60008241,4
2,60008251,5
2,60008291,4
3,60008301,5
10,60008311,4
13,60008311,4
1,60008391,4
4,60008391,4
8,60008391,4
1,60008421,4
3,60008421,4
7,60008431,4
3,60008451,4
7,60008451,4
1,60008491,4
4,60008521,4
2,60008641,5
1,60008711,4
1,60008731,4
1,60008851,4
1,60009021,4
2,60009061,4
1,60009071,4
1,60009111,4
4,60009111,4
6,60009121,5
1,60009141,3
3,60009231,5
6,60009231,4
1,60009241,5
1,60009281,4
4,60009341,5
1,60009531,4
3,60009551,4
1,60009591,4
3,60009591,4
1,60009641,3
4,60009731,4
1,60009781,4
1,60009791,4
1,60009861,4
1,60010061,3
1,60010131,4
1,60010151,4
1,60010341,4
1,60010351,3
1,60010461,5
1,60010501,5
1,60010561,4
1,60010671,4
1,60010701,4
1,60010761,5
1,60010871,5
1,60010881,5
1,60010891,5
3,60010891,4
2,60010931,4
1,60010941,4
1,60010981,4
1,60011001,3
1,60011021,5
1,60011031,3
1,60011091,5
1,60011231,4
2,60011261,5
1,60011321,4
1,60011541,3
3,60011541,5
1,60011671,5
2,60011701,4
1,60011711,4
4,60011711,5
1,60011731,3
1,60011771,5
1,60011801,4
1,60011891,5
1,60012221,4
1,60012351,4
3,60012361,5
1,60012411,4
5,60012411,4
6,60012421,5
1,60012451,3
1,60012501,3
1,60012521,4
1,60012551,4
1,60012561,4
1,60012571,5
1,60013281,4
1,60013301,5
5,60013321,4
3,60013461,5
3,60013471,5
1,60013491,5
1,60013571,5
1,60013611,4
1,60013701,5
4,60013701,5
6,60013771,5
1,60013831,4
1,60013841,5
1,60014011,5
1,60014071,4
1,60014111,4
1,60014151,4
3,60014151,4
1,60014261,4
1,60014411,3
3,60014411,4
3,60014491,4
1,60014641,4
1,60014681,5
1,60014691,4
2,60014721,3
3,60014741,4
1,60014771,4
1,60014801,5
1,60015051,4
3,60015101,4
1,60015131,4
1,60015151,4
1,60015201,4
3,60015271,5
3,60015291,4
1,60015331,4
2,60015451,4
3,60015511,4
2,60015781,4
3,60015831,3
1,60015901,4
4,60015901,5
2,60015951,4
3,60016011,4
5,60016051,4
1,60016071,4
2,60016091,4
3,60016101,5
1,60016411,4
3,60016561,3
6,60016571,4
1,60016701,4
2,60016751,4
1,60016851,4
1,60016881,3
2,60016881,4
2,60016921,5
1,60016931,4
2,60016931,4
4,60016941,4
1,60016991,4
1,60017011,4
1,60017071,4
2,60017091,4
1,60017201,4
5,60017241,4
2,60017281,4
1,60017311,4
1,60017391,4
1,60017471,4
1,60017491,4
3,60017501,4
1,60017681,4
1,60017691,4
1,60017811,4
1,60017851,4
1,60017871,4
1,60017921,4
1,60017991,5
1,60018201,3
1,60018301,5
1,60018421,5
1,60018471,4
1,60018511,3
1,60018591,5
2,60018631,5
1,60018641,5
1,60018661,4
1,60018731,5
4,60018881,5
1,60018921,4
4,60019051,4
1,60019131,3
1,60019291,5
4,60019471,4
1,60019511,4
1,60019561,4
1,60019721,4
1,60019821,4
1,60019861,4
4,60019861,4
1,60019981,4
2,60020091,4
1,60020181,4
1,60020191,4
1,60020211,5
1,60020221,5
3,60020271,5
1,60020341,5
1,60020391,4
1,60020511,4
1,60020561,4
1,60020791,4
1,60020811,4
1,60020861,5
2,60020861,5
4,60020861,5
4,60020871,5
4,60020881,5
4,60020891,5
1,60020911,4
4,60020921,5
1,60021071,4
1,60021101,4
1,60021111,4
1,60021121,4
1,60021151,4
1,60021181,3
1,60021211,4
1,60021221,4
1,60021231,4
1,60021281,4
1,60021291,4
1,60021301,3
1,60021511,4
1,60021541,4
1,60021571,3
1,60021581,3
1,60021601,5
1,60021641,5
1,60021681,4
1,60021711,3
3,60021711,4
1,60021721,5
3,60021851,5
1,60022031,5
4,60022141,4
1,60022191,4
2,60022201,4
1,60022341,4
1,60022381,3
1,60022431,4
1,60022451,4
1,60022461,3
1,60022511,4
1,60022561,4
2,60022571,5
4,60022621,4
2,60022661,3
4,60022691,3
1,60022761,5
1,60022781,5
2,60022911,5
1,60022931,4
2,60022951,4
1,60022961,4
1,60022981,4
1,60023051,4
1,60023111,4
1,60023171,4
2,60023181,5
4,60023181,3
1,60023281,5
2,60023321,4
5,60023321,5
2,60023401,3
1,60023421,4
6,60023421,5
3,60023551,5
1,60023571,4
2,60023691,4
2,60023711,4
1,60023731,4
1,60023781,4
5,60023841,5
1,60023871,4
3,60023871,4
