"ORDEN","P6020","P6051","P5502","P6071","P6071S1","P6081","P6081S1","P6083","P6083S1","LLAVEHOG"
1,1,1,6,1,2,3,0,3,0,"60000001"
2,2,2,6,1,1,3,0,2,0,"60000001"
3,2,3,4,0,0,1,1,1,2,"60000001"
4,2,4,5,0,0,2,0,1,3,"60000001"
5,1,4,5,0,0,2,0,1,3,"60000001"
6,1,4,0,0,0,2,0,1,3,"60000001"
1,1,1,2,1,2,2,0,2,0,"60000011"
2,2,2,2,1,1,2,0,2,0,"60000011"
3,1,3,0,0,0,1,1,1,2,"60000011"
1,2,1,4,0,0,2,0,2,0,"60000021"
2,1,3,5,0,0,2,0,1,1,"60000021"
3,1,3,5,0,0,2,0,1,1,"60000021"
4,2,3,5,0,0,2,0,1,1,"60000021"
1,1,1,2,1,2,2,0,2,0,"60000031"
2,2,2,2,1,1,2,0,2,0,"60000031"
3,2,3,5,0,0,1,1,2,0,"60000031"
4,1,3,5,0,0,1,1,1,2,"60000031"
5,2,3,5,0,0,1,1,1,2,"60000031"
6,2,3,5,0,0,1,1,1,2,"60000031"
7,2,3,0,0,0,1,1,1,2,"60000031"
1,2,1,4,0,0,3,0,3,0,"60000051"
2,1,3,5,0,0,2,0,1,1,"60000051"
3,2,3,4,0,0,2,0,1,1,"60000051"
4,2,4,0,0,0,2,0,1,3,"60000051"
1,1,1,2,1,2,3,0,2,0,"60000061"
2,2,2,2,1,1,3,0,3,0,"60000061"
1,2,1,2,1,2,2,0,2,0,"60000081"
2,1,2,2,1,1,2,0,3,0,"60000081"
3,2,3,5,0,0,1,2,1,1,"60000081"
4,2,3,0,0,0,1,2,1,1,"60000081"
5,2,3,0,0,0,1,2,1,1,"60000081"
6,1,9,5,0,0,2,0,2,0,"60000081"
1,1,1,6,1,2,2,0,3,0,"60000091"
2,2,2,6,1,1,2,0,2,0,"60000091"
3,1,3,0,0,0,1,1,1,2,"60000091"
1,2,1,2,1,2,2,0,2,0,"60000101"
2,1,2,2,1,1,3,0,2,0,"60000101"
3,1,3,5,0,0,1,2,1,1,"60000101"
4,1,3,0,0,0,1,2,1,1,"60000101"
1,1,1,2,1,2,3,0,2,0,"60000111"
2,2,2,2,1,1,2,0,2,0,"60000111"
3,2,3,5,0,0,2,0,1,2,"60000111"
4,1,3,5,0,0,2,0,1,2,"60000111"
5,2,3,0,0,0,1,1,1,2,"60000111"
1,2,1,3,0,0,3,0,3,0,"60000121"
1,2,1,3,0,0,3,0,3,0,"60000131"
2,2,3,5,0,0,3,0,1,1,"60000131"
3,2,4,5,0,0,2,0,1,2,"60000131"
1,1,1,2,1,2,2,0,2,0,"60000151"
2,2,2,2,1,1,2,0,2,0,"60000151"
3,1,3,0,0,0,1,1,1,2,"60000151"
4,1,13,5,0,0,2,0,2,0,"60000151"
5,1,13,5,0,0,2,0,2,0,"60000151"
6,1,13,5,0,0,2,0,2,0,"60000151"
7,1,13,5,0,0,2,0,2,0,"60000151"
1,1,1,6,1,2,3,0,3,0,"60000161"
2,2,2,6,1,1,3,0,3,0,"60000161"
3,1,3,5,0,0,1,1,1,2,"60000161"
1,1,1,3,0,0,3,0,3,0,"60000171"
1,1,1,2,1,2,2,0,2,0,"60000191"
2,2,2,2,1,1,2,0,1,5,"60000191"
3,2,3,5,0,0,1,1,1,2,"60000191"
4,1,3,0,0,0,1,1,1,2,"60000191"
5,2,6,4,0,0,2,0,2,0,"60000191"
6,2,14,5,0,0,2,0,1,5,"60000191"
1,1,1,6,1,2,2,0,2,0,"60000201"
2,2,2,6,1,1,2,0,2,0,"60000201"
1,1,1,5,0,0,2,0,2,0,"60000211"
1,1,1,6,1,2,3,0,3,0,"60000221"
2,2,2,6,1,1,3,0,3,0,"60000221"
1,2,1,5,0,0,3,0,3,0,"60000231"
1,2,1,4,0,0,3,0,3,0,"60000241"
1,1,1,2,1,2,3,0,1,6,"60000251"
2,2,2,2,1,1,2,0,2,0,"60000251"
3,1,3,5,0,0,1,1,1,2,"60000251"
4,1,7,2,1,5,3,0,1,6,"60000251"
5,2,9,2,1,4,2,0,2,0,"60000251"
6,2,5,3,0,0,3,0,3,0,"60000251"
1,1,1,6,1,2,2,0,2,0,"60000261"
2,2,2,6,1,1,2,0,2,0,"60000261"
3,2,3,0,0,0,1,1,1,2,"60000261"
4,1,3,0,0,0,1,1,1,2,"60000261"
1,1,1,2,1,2,3,0,2,0,"60000271"
2,2,2,2,1,1,2,0,2,0,"60000271"
3,2,3,5,0,0,1,1,1,2,"60000271"
4,1,3,5,0,0,1,1,1,2,"60000271"
5,1,14,4,0,0,3,0,2,0,"60000271"
1,1,1,1,1,2,2,0,2,0,"60000272"
2,2,2,1,1,1,2,0,2,0,"60000272"
3,2,3,5,0,0,2,0,1,2,"60000272"
4,1,3,0,0,0,2,0,1,2,"60000272"
1,1,1,3,0,0,3,0,3,0,"60000281"
1,1,1,2,1,2,3,0,2,0,"60000291"
2,2,2,2,1,1,2,0,2,0,"60000291"
3,2,3,0,0,0,1,1,1,2,"60000291"
1,2,1,2,1,2,3,0,2,0,"60000301"
2,1,2,2,1,1,2,0,2,0,"60000301"
3,1,3,5,0,0,1,2,1,1,"60000301"
4,1,3,5,0,0,1,2,1,1,"60000301"
5,2,3,4,0,0,1,2,1,1,"60000301"
6,1,4,0,0,0,2,0,1,5,"60000301"
7,1,14,4,0,0,3,0,2,0,"60000301"
8,2,14,5,0,0,3,0,2,0,"60000301"
1,1,1,6,1,2,2,0,2,0,"60000311"
2,2,2,6,1,1,3,0,2,0,"60000311"
3,2,7,5,0,0,3,0,2,0,"60000311"
4,2,9,5,0,0,2,0,1,3,"60000311"
1,1,1,2,2,0,2,0,2,0,"60000321"
2,2,3,5,0,0,1,1,2,0,"60000321"
3,2,3,5,0,0,1,1,2,0,"60000321"
1,1,1,2,1,2,2,0,2,0,"60000331"
2,2,2,2,1,1,2,0,2,0,"60000331"
3,2,3,5,0,0,2,0,1,2,"60000331"
1,2,1,4,0,0,3,0,1,3,"60000341"
2,1,3,5,0,0,2,0,1,1,"60000341"
3,2,5,3,0,0,3,0,3,0,"60000341"
1,1,1,6,1,2,3,0,3,0,"60000351"
2,2,2,6,1,1,3,0,3,0,"60000351"
1,2,1,4,0,0,2,0,2,0,"60000361"
2,2,3,5,0,0,2,0,1,1,"60000361"
3,1,3,1,1,4,3,0,1,1,"60000361"
4,2,8,1,1,3,2,0,2,0,"60000361"
5,2,3,4,0,0,2,0,1,1,"60000361"
6,2,4,0,0,0,2,0,1,5,"60000361"
7,2,4,0,0,0,2,0,1,5,"60000361"
1,2,1,2,2,0,3,0,2,0,"60000371"
2,2,3,5,0,0,2,0,1,1,"60000371"
3,1,3,0,0,0,2,0,1,1,"60000371"
1,1,1,2,1,2,3,0,3,0,"60000391"
2,2,2,2,1,1,3,0,2,0,"60000391"
3,2,3,5,0,0,1,1,1,2,"60000391"
4,2,3,0,0,0,1,1,1,2,"60000391"
1,1,1,2,1,2,2,0,2,0,"60000421"
2,2,2,2,1,1,3,0,2,0,"60000421"
3,1,3,5,0,0,1,1,1,2,"60000421"
4,2,3,5,0,0,1,1,1,2,"60000421"
1,2,1,6,2,0,3,0,3,0,"60000431"
2,2,3,6,1,3,2,0,1,1,"60000431"
