idf,id,sexo, parentescoJefe,conyugue,conyugueNo,padre,padreNo,madre,madreNo
60000001,4,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000001,5,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000001,3,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60000001,1,1,1,1,2,3,1.79769313486232e+308,3,1.79769313486232e+308
60000001,2,2,2,1,1,3,1.79769313486232e+308,2,1.79769313486232e+308
60000001,6,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000021,4,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000021,3,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000021,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60000021,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000051,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000051,4,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000051,3,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000051,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000131,3,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60000131,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000131,2,2,3,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,1
60000191,1,1,1,1,2,2,1.79769313486232e+308,2,1.79769313486232e+308
60000191,3,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60000191,6,2,14,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,5
60000191,5,2,6,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60000191,4,1,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60000191,2,2,2,1,1,2,1.79769313486232e+308,1,5
60000301,4,1,3,1.79769313486232e+308,1.79769313486232e+308,1,2,1,1
60000301,7,1,14,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60000301,8,2,14,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60000301,2,1,2,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
60000301,5,2,3,1.79769313486232e+308,1.79769313486232e+308,1,2,1,1
60000301,6,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,5
60000301,3,1,3,1.79769313486232e+308,1.79769313486232e+308,1,2,1,1
60000301,1,2,1,1,2,3,1.79769313486232e+308,2,1.79769313486232e+308
60000311,1,1,1,1,2,2,1.79769313486232e+308,2,1.79769313486232e+308
60000311,4,2,9,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000311,3,2,7,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60000311,2,2,2,1,1,3,1.79769313486232e+308,2,1.79769313486232e+308
60000341,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000341,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,3
60000341,3,2,5,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000361,5,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000361,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000361,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60000361,6,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,5
60000361,3,1,3,1,4,3,1.79769313486232e+308,1,1
60000361,4,2,8,1,3,2,1.79769313486232e+308,2,1.79769313486232e+308
60000361,7,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,5
60000361,5,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000361,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000361,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60000361,6,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,5
60000361,3,1,3,1,4,3,1.79769313486232e+308,1,1
60000361,4,2,8,1,3,2,1.79769313486232e+308,2,1.79769313486232e+308
60000361,7,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,5
60000521,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000521,2,2,3,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,1
60000521,3,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60000531,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000531,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60000561,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000561,6,2,9,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000561,4,2,7,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000561,5,1,9,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000561,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000561,3,2,7,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000561,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000561,6,2,9,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000561,4,2,7,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000561,5,1,9,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000561,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000561,3,2,7,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000711,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000711,4,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000711,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000711,6,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000711,7,2,3,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000711,8,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,7
60000711,5,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000711,3,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000711,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000711,4,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000711,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000711,6,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000711,7,2,3,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000711,8,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,7
60000711,5,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60000711,3,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000741,3,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000741,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000741,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60000881,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60000881,3,1,3,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,1
60000881,2,2,3,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,1
60000901,3,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60000901,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000901,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60000901,3,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60000901,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60000901,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60000911,1,1,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60000911,2,2,5,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60000911,4,1,7,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60000911,3,1,7,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60000911,5,1,7,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60000911,6,1,7,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60000991,3,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60000991,2,2,2,1,1,3,1.79769313486232e+308,3,1.79769313486232e+308
60000991,6,2,9,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,5
60000991,5,2,9,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,4
60000991,1,1,1,1,2,2,1.79769313486232e+308,3,1.79769313486232e+308
60000991,4,2,7,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,3,1.79769313486232e+308
60001061,7,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,6
60001061,1,1,1,1,2,3,1.79769313486232e+308,3,1.79769313486232e+308
60001061,5,1,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60001061,4,1,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60001061,6,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60001061,2,2,2,1,1,3,1.79769313486232e+308,2,1.79769313486232e+308
60001061,3,1,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60001101,3,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60001101,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60001101,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60001121,4,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60001121,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60001121,3,1,4,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,2
60001121,2,2,3,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,1
60001181,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60001181,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60001281,3,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60001281,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60001281,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60001291,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60001291,3,2,9,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60001291,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
